127,6
27,56
72,67
27,22
70,52
25,51
86,65
84,41
22,40
68,70
22,30
24,50
29,9
108,62
1,12
110,61
107,60
126,6
26,8
69,64
61,7
97,67
91,62
44,50
89,54
57,18
23,62
78,68
66,47
16,56
22,63
55,65
85,68
75,57
78,46
39,54
40,65
66,33
71,31
91,55
108,63
29,26
74,45
120,10
96,67
89,47
66,76
34,78
6,69
91,75
106,78
123,78
49,75
125,77
28,74
57,10
15,60
68,46
57,36
54,39
111,15
67,45
82,61
78,34
49,40
85,47
11,56
93,61
72,40
63,34
72,38
82,55
42,33
70,32
73,39
84,49
74,28
53,34
58,12
13,60
44,38
13,61
100,65
59,13
79,60
53,47
0,28
46,45
98,30
29,0
48,79
116,37
96,32
117,23
29,68
125,69
67,36
72,20
123,9
122,69
25,52
127,14
120,72
34,34
48,52
118,60
50,2
58,71
108,45
113,43
11,13
42,23
47,7
41,12
11,38
